FormPage,FormReferenceNumber,XPath
N/A,N/A,/VALUATION_RESPONSE/REPORT/@AppraisalFormType
N/A,N/A,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/DOCUMENT
1,2,/VALUATION_RESPONSE/REPORT/@_TitleDescription
1,3,/VALUATION_RESPONSE/REPORT/@AppraiserFileIdentifier
1,4,/VALUATION_RESPONSE/REPORT/@AppraiserAdditionalFileIdentifierName
1,4a,/VALUATION_RESPONSE/REPORT/@AppraiserAdditionalFileIdentifier
1,6,/VALUATION_RESPONSE/PROPERTY/@_StreetAddress
1,7,/VALUATION_RESPONSE/PROPERTY/@_City
1,8,/VALUATION_RESPONSE/PROPERTY/@_State
1,9,/VALUATION_RESPONSE/PROPERTY/@_PostalCode
1,10,/VALUATION_RESPONSE/PARTIES/BORROWER/BORROWER_EXTENSION/BORROWER_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/BORROWER_EXTENSION_SECTION_DATA/BORROWER_NAME/@GSEBorrowerName
1,11,/VALUATION_RESPONSE/PROPERTY/_OWNER/PROPERTY_OWNER_EXTENSION/PROPERTY_OWNER_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/PROPERTY_OWNER_EXTENSION_SECTION_DATA/PROPERTY_OWNER/@GSEPropertyOwnerName
1,12,/VALUATION_RESPONSE/PROPERTY/@_County
1,13,/VALUATION_RESPONSE/PROPERTY/_LEGAL_DESCRIPTION[@_Type='Other' and @_TypeOtherDescription='LongLegal']/@_TextDescription
1,14,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/PROPERTY_IDENTIFICATION_EXTENSION/PROPERTY_IDENTIFICATION_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/PROPERTY_IDENTIFICATION_EXTENSION_SECTION_DATA/PARCEL_IDENTIFIER/@GSEAssessorsParcelIdentifier
1,15,/VALUATION_RESPONSE/PROPERTY/_TAX/@_YearIdentifier
1,16,/VALUATION_RESPONSE/PROPERTY/_TAX/PROPERTY_TAX_EXTENSION/PROPERTY_TAX_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/PROPERTY_TAX_EXTENSION_SECTION_DATA/PROPERTY_TAX_AMOUNT/@GSEPropertyTaxTotalTaxAmount
1,17,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_Name
1,18,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/@MapReferenceIdentifier
