FormPage,FormReferenceNumber,XPath
1,2,/VALUATION_RESPONSE/REPORT/@_TitleDescription
1,3,/VALUATION_RESPONSE/REPORT/@AppraiserFileIdentifier
1,4,/VALUATION_RESPONSE/REPORT/@AppraiserAdditionalFileIdentifierName
1,6,/VALUATION_RESPONSE/REPORT/@USPAPReportDescription
0,1,/VALUATION_RESPONSE/REPORT/@AppraisalSoftwareProductVersionIdentifier
0,2,/VALUATION_RESPONSE/REPORT/@AppraisalSoftwareProductName
0,3,/VALUATION_RESPONSE/REPORT/@AppraiserReportSignedDate
0,4,/VALUATION_RESPONSE/REPORT/@OtherLoanPurposeDescription
0,5,/VALUATION_RESPONSE/REPORT/@AppraisalFormType
0,6,/VALUATION_RESPONSE/REPORT/@AppraisalFormVersionIdentifier
0,7,/VALUATION_RESPONSE/REPORT/@AppraisalPurposeTypeOtherDescription
0,8,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='1']/@AppraisalReportContentName
0,9,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='1']/@AppraisalReportContentType
0,10,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='1']/@AppraisalReportContentIdentifier
0,11,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='1']/@AppraisalReportContentIsPrimaryFormIndicator
0,12,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/@AppraisalReportContentName
0,13,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/@AppraisalReportContentType
0,14,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/@AppraisalReportContentIdentifier
0,15,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/@AppraisalReportContentIsPrimaryFormIndicator
0,16,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='TotalSales']/@_TrendType
0,17,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Prior4To6Months']/@_Count
0,18,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Prior7To12Months']/@_Count
0,19,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Last3Months']/@_Count
